2023-10-06 05:58:54.632+00:00 | main | INFO  | Besu | Starting Besu
2023-10-06 05:58:54.876+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-10-06 05:58:55.119+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-06 05:58:55.240+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-10-06 05:58:55.240+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2023-10-06 05:58:55.241+00:00 | main | INFO  | Besu | Security Module: localfile
2023-10-06 05:58:55.299+00:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2023-10-06 05:58:55.350+00:00 | main | INFO  | Besu | Using the native implementation of modexp
2023-10-06 05:58:55.351+00:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2023-10-06 05:58:55.355+00:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2023-10-06 05:58:55.374+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /opt/besu/data. Using version 1
2023-10-06 05:58:56.173+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0xc8210014af661cc7f8f41d8517a4c79d0958f5d0b6b47f2a3f785c361c09f69c96bd60680ca4c1944f872b1e20f531f40466a6226cfb52176d3c21499496c3c0 from /opt/besu/data/key
2023-10-06 05:58:56.311+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin: 0]
2023-10-06 05:58:56.421+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2023-10-06 05:58:56.435+00:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2023-10-06 05:58:56.471+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2023-10-06 05:58:56.596+00:00 | main | INFO  | Runner | Starting external services ... 
2023-10-06 05:58:56.596+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2023-10-06 05:58:56.677+00:00 | vert.x-eventloop-thread-3 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2023-10-06 05:58:56.679+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2023-10-06 05:58:56.682+00:00 | vert.x-eventloop-thread-3 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2023-10-06 05:58:56.685+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2023-10-06 05:58:56.686+00:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /opt/besu/data/caches
2023-10-06 05:58:56.693+00:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2023-10-06 05:58:56.693+00:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2023-10-06 05:58:56.693+00:00 | main | INFO  | NetworkRunner | Starting Network.
2023-10-06 05:58:56.701+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2023-10-06 05:58:56.702+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2023-10-06 05:58:56.719+00:00 | vert.x-eventloop-thread-3 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2023-10-06 05:58:56.722+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2023-10-06 05:58:56.752+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=1, publicKey=0x02c8210014af661cc7f8f41d8517a4c79d0958f5d0b6b47f2a3f785c361c09f69c, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], asBase64=-Je4QBuqH_Lbzm8iCZvJmZgRpY7owQutjE68NscWKpxTQg54XDIym5-3cEkufzyTnPRAXzkgkEiHykO86CnhECssPpsBg2V0aMfGhBid1dmAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQLIIQAUr2Ycx_j0HYUXpMedCVj10La0fyo_eFw2HAn2nIN0Y3CCdl-DdWRwgnZf, nodeId=0x1918ee0cc2b63ccfac58549f838a2e24a77893ffe5c6806be5f8b2d2afa57718, customFields={tcp=30303, udp=30303, ip=0x7f000001, eth=[[0x189dd5d9, 0x]], id=V4, secp256k1=0x02c8210014af661cc7f8f41d8517a4c79d0958f5d0b6b47f2a3f785c361c09f69c}}
2023-10-06 05:58:56.773+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://c8210014af661cc7f8f41d8517a4c79d0958f5d0b6b47f2a3f785c361c09f69c96bd60680ca4c1944f872b1e20f531f40466a6226cfb52176d3c21499496c3c0@127.0.0.1:30303
2023-10-06 05:58:56.773+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x838a2e24a77893ffe5c6806be5f8b2d2afa57718
2023-10-06 05:58:56.783+00:00 | main | INFO  | NetworkRunner | Supported capabilities: [eth/62, eth/63, eth/64, eth/65, eth/66, eth/67, eth/68], [istanbul/100], [snap/1]
2023-10-06 05:58:56.783+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2023-10-06 05:58:56.784+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2023-10-06 05:58:56.785+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2023-10-06 05:58:56.786+00:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:58:56.802+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2023-10-06 05:59:01.797+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:06.797+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:11.798+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:13.767+00:00 | nioEventLoopGroup-3-2 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 1 peers for usefulness
2023-10-06 05:59:13.774+00:00 | nioEventLoopGroup-3-1 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 2 peers for usefulness
2023-10-06 05:59:14.068+00:00 | nioEventLoopGroup-3-6 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 3 peers for usefulness
2023-10-06 05:59:17.386+00:00 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported #1 / 0 tx / 0 om / 0 (0.0%) gas / (0x282f8bfb6011087bc19877ff62db9d742c69e66aaba175e8bfaa1e4c922f9fc2) in 0.011s. Peers: 3
2023-10-06 05:59:18.056+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #2 / 0 tx / 0 pending / 0 (0.0%) gas / (0xcdcfdd26769321dc0e5ac9b7ccc0205e75e599bec407faeef95ab9d8b56c307d)
2023-10-06 05:59:19.057+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #3 / 0 tx / 0 pending / 0 (0.0%) gas / (0xc07b2673e58906f925238a1c2df1c7ff0f6806cb95b4fb0125398a12b7c866b8)
2023-10-06 05:59:20.045+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #4 / 0 tx / 0 pending / 0 (0.0%) gas / (0x74fa6202a8c64d78f35c9147ae352f881c2474f981a20fb6179843e5d96c4323)
2023-10-06 05:59:21.038+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #5 / 0 tx / 0 pending / 0 (0.0%) gas / (0x3828f4a4fd7eab213917e207411bbefc20e7fd3d54a0a72f51f78a1dcbf31383)
2023-10-06 05:59:22.037+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #6 / 0 tx / 0 pending / 0 (0.0%) gas / (0x187498a15f731978e77048c20b3080a35ef65f593d060a9cad2dcd9ae89f47a4)
2023-10-06 05:59:23.034+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #7 / 0 tx / 0 pending / 0 (0.0%) gas / (0xfd0c6b0b45e6fd7d2d790da02d86c9b2d629a9b21e760426e6e8f186032dc3c6)
2023-10-06 05:59:24.029+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #8 / 0 tx / 0 pending / 0 (0.0%) gas / (0x30befecc302ef700d6f1ed5956be2f9e5e1acef5e2ddc61429ebbb36cc49edc0)
2023-10-06 05:59:25.031+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #9 / 0 tx / 0 pending / 0 (0.0%) gas / (0x30a06fc5ac8d95daa8f722d5c9f2399690eccb43886cc4030ea508fd6b271a60)
2023-10-06 05:59:26.034+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #10 / 0 tx / 0 pending / 0 (0.0%) gas / (0x67609cc2b5bc533384cf5e5f41225f043e4d3e6b019f4b39eb28410c8c72f12f)
2023-10-06 05:59:27.033+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #11 / 0 tx / 0 pending / 0 (0.0%) gas / (0x8723fca81e4ca78e3c3faf005c33cccbe762803d6b2f9633c9902a22c3429a82)
2023-10-06 05:59:28.029+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #12 / 0 tx / 0 pending / 0 (0.0%) gas / (0x6d2a99accf238a619708c1d64920298b6aa0bf5555f0adad3ff9cea7f2cf9957)
2023-10-06 05:59:29.054+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #13 / 0 tx / 0 pending / 0 (0.0%) gas / (0xf5b7d6f3ccac99780715d3aa24fc030629ef59719b7da8e164a19e0a16c97314)
2023-10-06 05:59:30.033+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #14 / 0 tx / 0 pending / 0 (0.0%) gas / (0x01a61ce6606c2b7aa5adee042b468d4d9c8178c1161a581779df849d103d38f4)
2023-10-06 05:59:31.025+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #15 / 0 tx / 0 pending / 0 (0.0%) gas / (0xacfad2d9528a9e464e4eb590ebfcadabd4533e5e9fed6e8cda181f29e1a31058)
2023-10-06 05:59:32.028+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #16 / 0 tx / 0 pending / 0 (0.0%) gas / (0x4013d696cf3840d4ae539e0340e416ba63645fc747558eaa4d45e6e49264aaca)
2023-10-06 05:59:33.030+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #17 / 0 tx / 0 pending / 0 (0.0%) gas / (0x8dacddccaf84fe7c34585ca8fcd13ddafd2ad00ead8f8abf0e77c94ff6bcdd4d)
2023-10-06 05:59:34.021+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #18 / 0 tx / 0 pending / 0 (0.0%) gas / (0xdbe9a9c8d70b106f44dd4a16baad5a2ca3a547215fe9a45d4c07740418188607)
2023-10-06 05:59:35.054+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #19 / 0 tx / 0 pending / 0 (0.0%) gas / (0x80a6840eb42f133faa838cd4309eb56473140e3a2adceb5f475b89aac573774b)
2023-10-06 05:59:36.023+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #20 / 0 tx / 0 pending / 0 (0.0%) gas / (0xb7065e8950140b0f75168a2a00e53e02460f90cb54a90b4042c5702769d1e470)
2023-10-06 05:59:37.025+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #21 / 0 tx / 0 pending / 0 (0.0%) gas / (0xcdf0ddca341c1d7594803f89a61d8222060e6a60a82a964a245ae5415dd2fbe6)
2023-10-06 05:59:38.023+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #22 / 0 tx / 0 pending / 0 (0.0%) gas / (0xc132cae3805276198be614e22d01834f602ccc6ad5087cb2755340e7314a7b63)
2023-10-06 05:59:39.021+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #23 / 0 tx / 0 pending / 0 (0.0%) gas / (0x82e1b5eb305f818499c6803d0745281bfa1b234680097b0cb7585ffbc95d30a3)
